Date,Open,High,Low,Adj_Close,Vol.
2021-07-22,"7,308.70","7,386.40","7,308.70","7,386.40",582.73M
2021-07-21,"7,252.20","7,354.80","7,252.20","7,308.70",581.30M
2021-07-20,"7,286.00","7,286.00","7,205.00","7,252.20",644.64M
2021-07-19,"7,348.10","7,348.10","7,249.20","7,286.00",496.36M
2021-07-16,"7,335.90","7,348.10","7,316.30","7,348.10",592.39M
2021-07-15,"7,354.70","7,365.70","7,322.90","7,335.90",643.69M
2021-07-14,"7,332.10","7,368.50","7,326.50","7,354.70",561.31M
2021-07-13,"7,333.50","7,382.20","7,332.10","7,332.10",616.75M
2021-07-12,"7,273.30","7,353.40","7,273.30","7,333.50",471.35M
2021-07-09,"7,341.40","7,341.40","7,226.00","7,273.30",621.91M
2021-07-08,"7,326.90","7,381.90","7,326.90","7,341.40",573.96M
2021-07-07,"7,261.80","7,332.40","7,255.50","7,326.90",706.87M
2021-07-06,"7,315.00","7,346.20","7,261.80","7,261.80",552.71M
2021-07-05,"7,308.60","7,343.70","7,306.70","7,315.00",548.27M
2021-07-02,"7,265.60","7,312.30","7,265.60","7,308.60",501.02M
2021-07-01,"7,313.00","7,317.20","7,265.60","7,265.60",573.32M
2021-06-30,"7,301.20","7,370.10","7,301.20","7,313.00",675.23M
2021-06-29,"7,308.00","7,308.00","7,241.50","7,301.20",514.75M
2021-06-28,"7,308.00","7,310.60","7,273.70","7,307.30",515.55M
2021-06-25,"7,275.30","7,325.60","7,275.30","7,308.00",589.93M
2021-06-24,"7,298.50","7,303.80","7,256.30","7,275.30",583.50M
2021-06-23,"7,342.20","7,344.00","7,292.90","7,298.50",587.63M
2021-06-22,"7,235.30","7,365.90","7,235.30","7,342.20",761.07M
2021-06-21,"7,368.90","7,368.90","7,216.60","7,235.30",607.37M
2021-06-18,"7,359.00","7,403.20","7,334.90","7,368.90",1.23B
2021-06-17,"7,386.20","7,386.20","7,341.90","7,359.00",772.07M
2021-06-16,"7,379.50","7,406.20","7,372.40","7,386.20",663.03M
2021-06-15,"7,312.30","7,398.60","7,312.30","7,379.50",613.74M
2021-06-11,"7,302.50","7,329.70","7,274.80","7,312.30",556.87M
2021-06-10,"7,270.20","7,314.60","7,265.60","7,302.50",630.69M
2021-06-09,"7,292.60","7,334.90","7,270.20","7,270.20",567.09M
2021-06-08,"7,281.90","7,315.60","7,267.60","7,292.60",504.73M
2021-06-07,"7,295.40","7,309.40","7,269.40","7,281.90",471.21M
2021-06-04,"7,260.10","7,300.50","7,244.30","7,295.40",645.71M
2021-06-03,"7,217.80","7,281.80","7,217.80","7,260.10",592.84M
2021-06-02,"7,142.60","7,218.90","7,142.60","7,217.80",574.83M
2021-06-01,"7,161.60","7,163.00","7,117.50","7,142.60",414.77M
2021-05-31,"7,179.50","7,203.30","7,157.20","7,161.60",499.77M
2021-05-28,"7,094.90","7,186.80","7,094.90","7,179.50",606.89M
2021-05-27,"7,092.50","7,118.90","7,082.40","7,094.90",1.40B
2021-05-26,"7,115.20","7,136.40","7,090.10","7,092.50",517.99M
2021-05-25,"7,045.90","7,115.20","7,045.90","7,115.20",483.42M
2021-05-24,"7,030.30","7,061.90","7,015.50","7,045.90",455.99M
2021-05-21,"7,019.60","7,056.40","6,999.60","7,030.30",589.75M
2021-05-20,"6,931.70","7,025.40","6,919.40","7,019.60",664.42M
2021-05-19,"7,066.00","7,066.00","6,917.30","6,931.70",702.25M
2021-05-18,"7,023.60","7,083.60","7,023.60","7,066.00",524.94M
2021-05-17,"7,014.20","7,065.70","7,014.20","7,023.60",453.25M
2021-05-14,"6,982.70","7,055.70","6,982.70","7,014.20",520.96M
2021-05-13,"7,044.90","7,044.90","6,966.50","6,982.70",617.00M
2021-05-12,"7,097.00","7,097.00","7,006.60","7,044.90",644.64M
2021-05-11,"7,172.80","7,172.80","7,078.00","7,097.00",558.92M
2021-05-10,"7,080.80","7,172.80","7,076.10","7,172.80",588.42M
2021-05-07,"7,061.70","7,101.20","7,054.10","7,080.80",532.25M
2021-05-06,"7,095.80","7,112.50","7,042.70","7,061.70",625.15M
2021-05-05,"7,067.90","7,122.00","7,054.00","7,095.80",510.16M
2021-05-04,"7,028.80","7,069.50","7,028.80","7,067.90",484.50M
2021-05-03,"7,025.80","7,068.40","7,022.00","7,028.80",468.23M
2021-04-30,"7,082.30","7,082.30","7,012.80","7,025.80",615.51M
2021-04-29,"7,064.70","7,096.90","7,064.70","7,082.30",634.86M
2021-04-28,"7,033.80","7,077.50","7,028.60","7,064.70",620.72M
2021-04-27,"7,045.60","7,053.30","7,005.90","7,033.80",596.35M
2021-04-26,"7,060.70","7,075.20","7,045.60","7,045.60",427.51M
2021-04-23,"7,055.40","7,060.70","7,036.80","7,060.70",485.41M
2021-04-22,"6,997.50","7,055.40","6,993.70","7,055.40",663.98M
2021-04-21,"7,017.80","7,017.80","6,905.40","6,997.50",689.08M
2021-04-20,"7,065.60","7,067.20","7,008.80","7,017.80",554.64M
2021-04-19,"7,063.50","7,094.80","7,063.50","7,065.60",473.52M
2021-04-16,"7,058.60","7,066.40","7,030.10","7,063.50",627.01M
2021-04-15,"7,023.10","7,071.50","6,988.60","7,058.60",686.79M
2021-04-14,"6,976.90","7,027.40","6,976.90","7,023.10",576.45M
2021-04-13,"6,974.00","6,998.00","6,962.90","6,976.90",507.31M
2021-04-12,"6,996.70","6,996.70","6,957.40","6,974.00",405.10M
2021-04-09,"6,998.80","6,998.80","6,965.50","6,995.20",425.91M
2021-04-08,"6,928.00","7,012.40","6,928.00","6,998.80",545.00M
