Date,Open,High,Low,Adj_Close
2021-04-13,"2,371.10","2,384.60","2,367.00","2,379.70"
2021-04-12,"2,362.10","2,378.20","2,356.90","2,365.80"
2021-04-09,"2,382.40","2,388.00","2,364.00","2,365.00"
2021-04-08,"2,405.60","2,407.60","2,373.80","2,379.70"
2021-04-07,"2,395.80","2,403.20","2,380.70","2,391.90"
2021-04-06,"2,412.90","2,414.90","2,394.30","2,396.80"
2021-04-01,"2,392.40","2,396.30","2,386.10","2,391.90"
2021-03-31,"2,388.00","2,398.30","2,384.30","2,385.80"
2021-03-30,"2,374.80","2,391.40","2,367.90","2,385.10"
2021-03-29,"2,364.00","2,369.40","2,354.00","2,363.60"
2021-03-26,"2,359.90","2,364.00","2,347.90","2,360.80"
2021-03-25,"2,336.40","2,347.40","2,321.00","2,343.50"
2021-03-24,"2,315.80","2,342.80","2,313.70","2,341.50"
2021-03-23,"2,342.00","2,342.00","2,323.90","2,333.20"
2021-03-22,"2,325.70","2,349.30","2,324.40","2,348.60"
2021-03-19,"2,328.10","2,357.70","2,324.90","2,340.10"
2021-03-18,"2,362.30","2,366.70","2,346.20","2,356.40"
2021-03-17,"2,350.60","2,355.90","2,341.50","2,350.80"
2021-03-16,"2,346.40","2,352.30","2,339.80","2,346.90"
2021-03-15,"2,345.20","2,363.80","2,326.60","2,334.90"
2021-03-12,"2,355.20","2,365.20","2,349.30","2,359.20"
2021-03-11,"2,351.30","2,369.40","2,350.80","2,360.60"
