Date,Open,High,Low,Adj_Close,Volume
18-Aug-21,"62,657.34","62,964.28","61,460.15","61,608.96",122.26M
17-Aug-21,"62,607.03","63,298.07","62,379.41","62,657.34",280.96M
16-Aug-21,"63,269.04","63,269.04","62,420.04","62,607.03",156.51M
13-Aug-21,"63,276.98","63,489.44","63,083.09","63,269.04",172.00M
12-Aug-21,"63,488.73","63,488.73","62,889.99","63,276.98",132.59M
11-Aug-21,"63,541.21","63,797.42","63,239.40","63,488.73",106.45M
10-Aug-21,"62,509.23","63,675.70","62,282.25","63,541.21",138.08M
06-Aug-21,"62,199.85","62,623.85","62,192.83","62,509.23",116.28M
05-Aug-21,"62,750.03","62,750.03","62,199.85","62,199.85",151.95M
04-Aug-21,"62,543.44","63,140.33","62,490.61","62,750.03",97.13M
03-Aug-21,"62,704.00","62,789.90","62,207.70","62,543.44",103.47M
02-Aug-21,"62,852.28","63,464.27","62,704.00","62,704.00",83.97M
30-Jul-21,"63,394.89","63,394.89","62,394.56","62,852.28",150.09M
29-Jul-21,"62,368.63","63,602.31","62,350.42","63,394.89",97.94M
28-Jul-21,"61,208.33","62,368.63","60,768.24","62,368.63",79.92M
27-Jul-21,"61,946.37","61,998.40","60,757.06","61,208.33",97.43M
26-Jul-21,"61,932.98","62,215.46","61,410.69","61,946.37",92.31M
23-Jul-21,"61,309.13","62,163.32","61,309.13","61,932.98",74.86M
22-Jul-21,"60,502.39","61,422.42","60,498.55","61,309.13",95.42M
21-Jul-21,"59,668.22","60,659.09","59,459.68","60,502.39",94.84M
20-Jul-21,"58,795.32","59,689.26","58,795.32","59,668.22",99.14M
19-Jul-21,"60,437.58","60,437.58","58,537.39","58,795.32",94.96M
16-Jul-21,"61,439.11","61,613.79","60,201.01","60,437.58",106.30M
15-Jul-21,"61,753.54","61,843.74","61,185.13","61,439.11",94.16M
14-Jul-21,"60,943.22","62,183.09","60,863.77","61,753.54",117.91M
13-Jul-21,"61,080.80","61,386.23","60,673.22","60,943.22",144.63M
12-Jul-21,"60,221.84","61,080.80","59,775.65","61,080.80",101.26M
09-Jul-21,"59,106.40","60,252.80","59,106.40","60,221.84",111.26M
08-Jul-21,"60,705.57","60,718.82","58,975.24","59,106.40",136.81M
07-Jul-21,"59,756.87","60,861.96","59,729.39","60,705.57",117.89M
06-Jul-21,"60,082.20","60,388.37","59,708.22","59,756.87",75.26M
