Date,Open,High,Low,Adj_Close,Vol.
05/31/2021,"10,561.46","10,569.50","10,514.97","10,551.23",464.24M
05/30/2021,"10,529.76","10,571.98","10,519.24","10,547.67",408.59M
05/27/2021,"10,472.41","10,519.52","10,461.53","10,519.52",382.97M
05/26/2021,"10,452.61","10,490.16","10,447.57","10,471.55",302.15M
05/25/2021,"10,332.21","10,448.00","10,331.98","10,448.00",319.70M
05/24/2021,"10,349.07","10,375.53","10,318.51","10,318.51",382.71M
05/23/2021,"10,352.67","10,367.67","10,307.83","10,343.86",356.68M
05/20/2021,"10,369.58","10,381.15","10,313.11","10,339.85",297.88M
05/19/2021,"10,427.04","10,431.19","10,360.29","10,372.54",263.02M
05/18/2021,"10,424.23","10,492.97","10,401.38","10,423.51",317.84M
05/17/2021,"10,332.98","10,413.19","10,318.47","10,396.44",298.20M
05/10/2021,"10,235.72","10,322.68","10,233.15","10,322.68",222.05M
05/09/2021,"10,244.86","10,273.28","10,209.91","10,228.19",172.40M
05/06/2021,"10,254.88","10,258.27","10,170.53","10,228.35",245.64M
05/05/2021,"10,324.70","10,332.38","10,252.15","10,252.15",241.25M
05/04/2021,"10,320.96","10,354.03","10,253.32","10,318.94",238.91M
05/03/2021,"10,381.40","10,386.34","10,309.37","10,309.37",270.27M
05/02/2021,"10,406.06","10,416.48","10,330.72","10,365.51",321.05M
04/29/2021,"10,493.64","10,503.33","10,382.49","10,418.98",356.29M
04/28/2021,"10,328.49","10,540.17","10,308.60","10,531.22",457.40M
04/27/2021,"10,226.35","10,267.17","10,205.03","10,267.17",359.50M
04/26/2021,"10,155.11","10,231.06","10,139.97","10,231.06",309.56M
04/25/2021,"10,139.08","10,173.30","10,128.99","10,142.48",275.14M
04/22/2021,"10,109.59","10,136.66","10,092.22","10,134.08",260.56M
04/21/2021,"10,127.94","10,142.16","10,095.36","10,095.36",251.78M
04/20/2021,"10,097.01","10,125.57","10,086.86","10,116.98",345.98M
04/19/2021,"10,062.16","10,097.65","10,007.38","10,097.65",338.52M
04/18/2021,"10,009.61","10,065.05","10,006.10","10,048.70",237.44M
04/15/2021,"9,863.29","9,987.92","9,862.29","9,987.92",225.51M
04/14/2021,"9,820.03","9,847.62","9,767.01","9,847.62",202.95M
04/13/2021,"9,911.53","9,922.00","9,838.28","9,838.28",254.23M
