,location,Cases,deaths,new_vaccinations,hosp_patients,median_age,extreme_poverty,male_smokers,female_smokers,total_smokers,diabetes_prevalence,population,population_density,life_expectancy
98,Trinidad and Tobago,193.21443514644352,4.49154334038055,3762.60447761194,0.0,36.20000000000033,0.0,0.0,0.0,0.0,10.96999999999992,1525663.0,266.8859999999987,73.51000000000026
99,Bosnia and Herzegovina,413.8830227743271,17.079113924050635,46931.0,0.0,42.5,0.19999999999999749,47.69999999999952,30.200000000000486,38.95,10.079999999999938,3270943.0,68.4959999999993,77.40000000000018
100,Colombia,6578.9030239833155,149.44889357218125,197216.89019607843,0.0,32.2000000000005,4.5,13.5,4.699999999999915,9.099999999999957,7.439999999999856,51516562.0,44.22300000000023,77.28999999999988
101,Peru,4315.750778816199,226.21621621621622,136978.77741935482,0.0,29.099999999999543,3.5,0.0,4.800000000000087,4.800000000000087,5.9499999999998945,33715472.0,25.129000000000513,76.74000000000001
102,Botswana,346.80552603613177,2.9680851063829787,10435.0,0.0,25.799999999999564,0.0,34.40000000000059,5.6999999999999,20.050000000000246,4.809999999999995,2588423.0,4.043999999999962,69.58999999999831
103,Ukraine,5785.889462809917,123.04592901878914,88628.86797752809,0.0,41.40000000000076,0.09999999999999873,47.400000000000844,13.5,30.450000000000422,7.109999999999893,43531422.0,77.3899999999995,72.05999999999904
104,Suriname,84.83281086729363,1.4834578441835646,2119.4074074074074,0.0,29.599999999999532,0.0,42.90000000000077,7.399999999999883,25.15000000000033,12.540000000000253,612984.0,3.6120000000000525,71.67999999999995
105,Palestine,729.2676348547718,6.04021164021164,13126.24,0.0,20.40000000000003,1.0,0.0,0.0,0.0,10.590000000000108,5133392.0,778.2020000000099,74.05000000000135
106,Saint Kitts and Nevis,6.921775898520084,0.0925553319919517,936.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,12.840000000000115,47606.0,212.86499999999822,76.23000000000091
107,Turks and Caicos Islands,6.825902335456475,0.038502673796791446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45114.0,37.31200000000062,80.22000000000084
108,Russia,21089.873,401.1764705882353,411442.5525606469,0.0,39.59999999999925,0.09999999999999859,58.300000000000985,23.400000000000258,40.85000000000062,6.180000000000051,145102755.0,8.82300000000015,72.58000000000133
109,Malaysia,4863.465671641791,38.279118572927594,118513.42200328407,3214.6927138331575,29.900000000000524,0.09999999999999856,42.400000000000794,1.0,21.700000000000397,16.739999999999863,33573874.0,96.25400000000073,76.16000000000194
110,South America,65592.73006134969,1337.2474437627811,1394715.1921921922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433956670.0,0.0,0.0
111,Tonga,44.578512396694215,0.05240174672489083,0.0,0.0,22.29999999999984,0.0,44.40000000000031,11.800000000000114,28.100000000000215,15.42000000000006,106017.0,150.02800000000033,70.91000000000048
112,Kosovo,284.380355276907,3.3776371308016877,3738.941011235955,0.0,0.0,0.6000000000000107,0.0,0.0,0.0,0.0,1782115.0,168.15499999999898,0.0
113,Kuwait,680.1510791366907,2.7414529914529915,11878.666666666666,0.0,33.70000000000049,0.0,37.0,2.6999999999999846,19.84999999999999,15.84000000000012,4250114.0,232.12799999999748,75.49
114,Jordan,1806.7290589451914,14.959745762711865,29293.253424657534,0.0,23.200000000000415,0.09999999999999873,0.0,0.0,0.0,11.75,11148278.0,109.28500000000237,74.52999999999916
115,Grenada,20.68354430379747,0.3580060422960725,231.8,0.0,29.40000000000045,0.0,0.0,0.0,0.0,10.709999999999857,124610.0,317.13200000000256,72.40000000000072
116,Armenia,459.81404958677683,9.224576271186441,0.0,0.0,35.700000000000244,1.7999999999999698,52.099999999999085,1.5,26.799999999999542,7.109999999999886,2790974.0,102.93099999999797,75.0899999999981
117,Brazil,35738.54685890834,722.6785714285714,798878.316254417,0.0,33.5,3.4000000000000576,17.899999999999846,10.100000000000184,14.000000000000014,8.109999999999864,214326223.0,25.040000000000568,75.87999999999951
118,North Macedonia,353.53340184994863,10.086497890295359,10892.258823529412,0.0,39.099999999999284,5.0,0.0,0.0,0.0,10.079999999999938,2103330.0,82.60000000000025,75.80000000000139
119,Saint Lucia,30.96760710553814,0.5670391061452514,286.5108695652174,0.0,34.90000000000061,0.0,0.0,0.0,0.0,11.620000000000141,179652.0,293.18700000000206,76.19999999999862
120,Poland,6553.833505687694,123.12095933263817,82019.8092369478,9756.670781893004,41.80000000000013,0.0,33.09999999999942,23.299999999999585,28.199999999999502,5.909999999999919,38307726.0,124.02700000000111,78.73000000000066
121,Romania,3372.6036960985625,70.77871443624868,31760.29867674858,5336.880398671096,43.0,5.699999999999897,37.09999999999932,22.900000000000198,29.99999999999976,9.739999999999831,19328560.0,85.12900000000073,76.0500000000014
122,Belize,72.7246835443038,0.7414163090128756,2272.074074074074,0.0,25.0,0.0,0.0,0.0,0.0,17.110000000000216,400031.0,16.425999999999842,74.62000000000072
123,Qatar,481.0422245108136,0.7253446447507953,15916.42441860465,0.0,31.90000000000055,0.0,26.90000000000038,0.7999999999999897,13.850000000000184,16.52000000000032,2688235.0,227.3219999999942,80.23000000000054
124,Japan,21959.448412698413,47.13272543059777,558605.8694915255,10566.553846153845,48.1999999999994,0.0,33.70000000000039,11.200000000000108,22.450000000000248,5.720000000000011,124612530.0,347.7779999999953,84.6300000000002
125,Bulgaria,1325.8203530633436,39.43020833333333,7454.911413969336,2960.965628356606,44.6999999999997,1.5,44.400000000000794,30.09999999999951,37.250000000000156,5.810000000000072,6885868.0,65.18000000000026,75.05000000000135
126,Turkey,16784.58081334724,106.08280922431865,244112.84690553747,0.0,31.59999999999947,0.19999999999999754,41.099999999999255,14.100000000000232,27.599999999999746,12.129999999999828,84775404.0,104.9140000000007,77.69000000000105
127,North America,114342.82656095143,1504.8969276511398,1609657.5598227475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596315269.0,0.0,0.0
128,Moldova,616.6798336798337,11.885383806519453,6394.712918660287,0.0,37.599999999999326,0.1999999999999975,44.599999999999206,5.899999999999945,25.249999999999574,5.72,3061506.0,123.65499999999905,71.90000000000066
129,Micronesia (country),35.401869158878505,0.5851063829787234,0.0,0.0,23.0,16.0,0.0,0.0,0.0,12.020000000000197,113131.0,150.77700000000092,67.8799999999996
130,Mauritius,279.7114164904863,1.0909090909090908,35153.0,0.0,37.40000000000067,0.5,40.69999999999998,3.1999999999999615,21.94999999999997,22.020000000000344,1298915.0,622.9620000000065,74.98999999999984
131,Greenland,12.549266247379455,0.07260726072607261,610.3661971830986,0.0,0.0,0.0,0.0,0.0,0.0,2.1600000000000343,56243.0,0.13700000000000043,71.69999999999874
132,Argentina,10069.99585492228,134.9730010384216,165164.13533834586,0.0,31.9000000000006,0.6000000000000116,27.70000000000048,16.20000000000031,21.950000000000394,5.5,45276780.0,16.176999999999772,76.66999999999864
133,Dominica,16.660337552742615,0.1716937354988399,802.125,0.0,0.0,0.0,0.0,0.0,0.0,11.620000000000136,72412.0,98.56699999999935,75.0
134,Lebanon,1244.400408580184,11.136316337148804,13268.684754521964,0.0,31.099999999999465,0.0,40.6999999999999,26.90000000000039,33.800000000000146,12.709999999999724,5592631.0,594.5609999999901,78.92999999999917
135,Malta,119.7435098650052,0.8700322234156821,2096.666131621188,34.03188405797101,42.40000000000077,0.19999999999999749,30.200000000000486,20.900000000000066,25.550000000000274,8.829999999999938,526748.0,1454.0370000000098,82.52999999999913
136,Costa Rica,1175.4107883817428,9.457413249211356,0.0,0.0,33.59999999999941,1.2999999999999765,17.399999999999785,6.3999999999999195,11.899999999999853,8.77999999999994,5153957.0,96.07899999999889,80.27999999999915
137,Hungary,2214.59462254395,50.14435146443515,65168.535433070865,2830.9075738125803,43.40000000000079,0.5,34.79999999999958,26.799999999999542,30.79999999999956,7.5500000000001215,9709786.0,108.04300000000144,76.87999999999954
138,Panama,1030.8416666666667,8.860416666666667,6976.027027027027,0.0,29.700000000000482,2.200000000000025,9.89999999999982,2.400000000000043,6.149999999999931,8.32999999999994,4351267.0,55.133000000001076,78.50999999999988
139,British Virgin Islands,7.746553552492046,0.06948968512486428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.670000000000066,31122.0,207.9729999999986,79.07000000000062
140,Curacao,47.50992685475444,0.30462184873949577,568.1839762611276,0.0,41.6999999999999,0.0,0.0,0.0,0.0,11.620000000000141,190338.0,362.64399999999307,78.87999999999963
141,Finland,1340.6807228915663,6.502612330198537,28509.18181818182,351.55699481865287,42.800000000000296,0.0,22.59999999999978,18.299999999999656,20.44999999999972,5.7600000000001375,5535992.0,18.13600000000014,81.91000000000204
142,Chile,4840.264073694984,52.10676532769556,96113.25846153845,0.0,35.400000000000645,1.299999999999976,41.5,34.20000000000045,37.85000000000022,8.460000000000026,19493184.0,24.28199999999954,80.17999999999908
143,Anguilla,4.099681866383881,0.0325,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15753.0,0.0,81.87999999999974
144,Sweden,2626.6757301107755,21.959915611814345,0.0,1029.9260752688172,41.0,0.5,18.89999999999997,18.79999999999965,18.84999999999981,4.789999999999969,10467097.0,24.71800000000047,82.80000000000156
145,Hong Kong,1880.3727634194831,10.391566265060241,32843.88019966722,0.0,44.80000000000043,0.0,0.0,0.0,0.0,8.32999999999994,7494578.0,7039.713999999907,84.86000000000051
146,French Polynesia,80.21630094043887,0.836340206185567,427.5,0.0,32.7000000000005,0.0,0.0,0.0,0.0,22.62999999999998,304032.0,77.32399999999961,77.6600000000019
147,New Caledonia,78.6778947368421,0.7621359223300971,0.0,0.0,33.400000000000574,0.0,0.0,0.0,0.0,23.360000000000316,287800.0,15.342000000000164,77.55000000000138
148,Norway,1503.471252566735,4.057712486883526,17974.144560357676,141.59345794392524,39.69999999999998,0.1999999999999974,20.70000000000038,19.600000000000012,20.150000000000198,5.310000000000046,5403021.0,14.461999999999932,82.39999999999976
149,Oceania,12523.590457256461,20.053677932405567,120221.76198083068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44491772.0,0.0,0.0
150,Spain,13683.957661290322,121.1255230125523,287515.5707762557,7201.167686658507,45.5,1.0,31.400000000000563,27.400000000000432,29.400000000000496,7.170000000000059,47486935.0,93.10499999999979,83.55999999999881
151,Bermuda,19.264705882352942,0.15845824411134904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,64185.0,1308.8199999999913,82.58999999999801
152,United States,96570.85813492064,1104.2074303405573,938970.9792284867,49678.76710684274,38.300000000000004,1.2000000000000226,24.599999999999678,19.099999999999998,21.849999999999838,10.790000000000191,336997624.0,35.60800000000016,78.8600000000005
153,Uruguay,1036.282722513089,7.969247083775185,15799.608378870675,0.0,35.599999999999376,0.09999999999999878,19.899999999999984,14.0,16.949999999999992,6.930000000000067,3426260.0,19.75100000000018,77.9100000000019
154,Mongolia,1027.003125,3.1430678466076696,19623.4,0.0,28.599999999999564,0.5,46.5,5.5,26.0,4.82000000000003,3347782.0,1.980000000000015,69.87000000000101
155,Palau,12.781902552204176,0.027131782945736434,0.0,0.0,0.0,0.0,22.70000000000001,7.6999999999999496,15.19999999999998,15.890000000000105,18024.0,47.23699999999988,73.70000000000051
156,Croatia,1277.4892307692307,17.971638655462186,7887.477083333333,933.091967403958,44.0,0.7000000000000054,39.90000000000073,34.29999999999955,37.100000000000136,5.590000000000077,4060135.0,73.72600000000043,78.4900000000002
157,Taiwan,7510.821073558648,12.68191056910569,127218.04392764858,0.0,42.199999999999704,0.0,0.0,0.0,0.0,0.0,23859912.0,0.0,80.46000000000065
158,Europe,233595.0724206349,1943.8392857142858,1942773.5174418604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748655221.0,0.0,0.0
159,High income,387816.1674925669,2666.90485629336,3864515.8343023257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241374280.0,0.0,0.0
160,Montserrat,1.4721930745015739,0.009836065573770493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4417.0,0.0,74.16000000000182
161,Ireland,1738.1147880041365,8.459601259181532,17357.455974842767,429.7223382045929,38.700000000000074,0.19999999999999743,25.700000000000447,23.0,24.35000000000022,3.280000000000056,4986526.0,69.87400000000143,82.3000000000015
162,United Kingdom,23251.832323232324,208.45190380761522,246795.43023255814,10058.325159914712,40.80000000000016,0.19999999999999718,24.700000000000443,20.0,22.35000000000022,4.280000000000073,67281040.0,272.89799999999343,81.32000000000116
163,Serbia,2487.0849740932645,18.117894736842103,24182.844444444443,2515.294911734164,41.19999999999988,0.0,40.19999999999996,37.700000000000145,38.95000000000005,10.079999999999938,6871547.0,80.29099999999868,76.0
164,New Zealand,1895.77950310559,2.2492012779552715,19866.305227655987,0.0,37.900000000000695,0.0,17.20000000000031,14.79999999999976,16.000000000000036,8.07999999999994,5129728.0,18.205999999999975,82.28999999999947
165,Maldives,192.39875389408098,0.3380900109769484,2769.0752688172042,0.0,30.599999999999497,0.0,55.0,2.0999999999999632,28.549999999999983,9.189999999999875,521458.0,1454.4329999999784,78.91999999999865
166,Marshall Islands,21.14010989010989,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5299999999997,42050.0,295.14999999999634,73.69999999999878
167,Barbados,107.98113207547169,0.5989304812834224,609.7151767151768,0.0,39.79999999999996,0.0,14.5,1.9000000000000306,8.200000000000015,13.569999999999823,281200.0,664.4629999999918,79.19000000000106
168,Nauru,22.383495145631066,0.008547008547008548,168.0,0.0,0.0,0.0,36.90000000000011,43.0,39.95000000000006,24.06999999999982,12512.0,682.450000000007,59.95999999999935
169,Cook Islands,12.192748091603054,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17003.0,0.0,76.25
